Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
K Neighbors Classifier,0.7761,0.7847,0.7761,0.7694,0.7718,0.4055,0.407,0.715
Logistic Regression,0.7517,0.8459,0.7517,0.7696,0.667,0.1051,0.2064,0.736
SVM - Linear Kernel,0.7515,0.8137,0.7515,0.7551,0.7184,0.2819,0.3261,0.082
Ridge Classifier,0.7452,0.7988,0.7452,0.7236,0.6635,0.093,0.1643,0.073
Extra Trees Classifier,0.7426,0.7149,0.7426,0.7215,0.6468,0.0559,0.1248,0.122
Naive Bayes,0.7347,0.5,0.7347,0.5398,0.6223,0.0,0.0,0.073
Decision Tree Classifier,0.7347,0.5,0.7347,0.5398,0.6223,0.0,0.0,0.073
Random Forest Classifier,0.7347,0.7361,0.7347,0.5398,0.6223,0.0,0.0,0.135
Quadratic Discriminant Analysis,0.7347,0.46,0.7347,0.5398,0.6223,0.0,0.0,0.074
Ada Boost Classifier,0.7347,0.5,0.7347,0.5398,0.6223,0.0,0.0,0.073
Gradient Boosting Classifier,0.7347,0.499,0.7347,0.5398,0.6223,0.0,0.0,0.125
Linear Discriminant Analysis,0.7347,0.5,0.7347,0.5398,0.6223,0.0,0.0,0.076
Extreme Gradient Boosting,0.7347,0.6837,0.7347,0.5398,0.6223,0.0,0.0,0.93
Light Gradient Boosting Machine,0.7347,0.5606,0.7347,0.5398,0.6223,0.0,0.0,0.614
CatBoost Classifier,0.7347,0.429,0.7347,0.5398,0.6223,0.0,0.0,1.574
Dummy Classifier,0.7347,0.5,0.7347,0.5398,0.6223,0.0,0.0,0.049
